fullvisitorId,visitNumber,customerPath,eventCount
0318476411656972479,1," Landing, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, basket, yourinfo, payment, yourinfo, payment, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",19
0326671467950015369,6," Landing, productpageshopbycategory, singin, productpageshopbycategory, storepolicies, storepolicies, storepolicies, basket, yourinfo, payment, revieworder, ordercomplete",12
0344842538233543056,1," Landingshopbybrand, home, productbrowseshopbycategory, home, productbrowseshopbycategory, home, productbrowseshopbycategory, home, search, searchsearch quickview, basket, singin, register, singin, register, store, basket, yourinfo, payment, revieworder, payment, ordercomplete",22
0345672699449577691,5," Landing, basket, yourinfo, payment, revieworder, ordercomplete",6
0349598333236458498,1," Landing, productbrowseshopbycategory, basket, productpageshopbycategory, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbybrand, productbrowseshopbycategory, basket, singin, register, store, productpageshopbycategory, productpageshopbycategory, basket, yourinfo, payment, ordercomplete",18
036131108463384213,1," Landing, productbrowseshopbycategory, singin, store, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",11
0363878417378060116,2," Landing, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",9
0367699875055542808,6," Landing, basket, store, productbrowseshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",9
0372741889888882659,1," Landing, store, basket, store, myaccount, myaccount, myaccount, myaccount, myaccount, basket, search, searchsearch quickview, basket, store, search, searchsearch quickview, basket, yourinfo, search, searchsearch quickview, basket, yourinfo, payment, revieworder, ordercomplete",25
0376394056092189113,3," Landing, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbybrand, productbrowsequickview, basket, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, singin, basket, yourinfo, payment, revieworder, ordercomplete",26
0376394056092189113,5," Landing, basket, store, singin, store, myaccount, myaccount, myaccount, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, store, myaccount, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, order",51
0389488682405584834,1," Landing, productbrowseshopbycategory, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, basket, singin, register, store, basket, yourinfo, payment, basket, home, basket, yourinfo, payment, revieworder, ordercomplete",20
039400440658825933,3," Landing, productbrowseshopbybrand, productpageshopbycategory, basket, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbybrand, productbrowseshopbycategory, productbrowseshopbycategory, basket, singin, register, store, basket, yourinfo, payment, revieworder, home, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, productbrowseshopbybrand, basket, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",41
0396718069117936487,1," Landing, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",14
0405996727678488611,1," Landing, productbrowseshopbycategory, productbrowsequickview, basket, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, singin, register, store, basket, yourinfo, payment, revieworder, basket, yourinfo, payment, revieworder, ordercomplete",21
0429502726115959763,2," Landingshopbycategory, basket, singin, productpageshopbycategory, basket, singin, register, store, basket, yourinfo, payment, revieworder, ordercomplete",13
0456807427403774085,3," Landing, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, basket, store, productpageshopbycategory, productpageshopbycategory, basket, productpageshopbycategory, singin, basket, yourinfo, payment, revieworder, ordercomplete",29
049618887282998852,1," Landingshopbybrand, productbrowsequickview, productbrowseshopbybrand, productbrowsequickview, productpageshopbycategory, basket, productbrowseshopbycategory, productpageshopbycategory, home, productpageshopbycategory, basket, singin, register, store, basket, productpageshopbycategory, basket, yourinfo, payment, ordercomplete",20
0500460722094613747,6," Landingshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, singin, basket, yourinfo, payment, revieworder, ordercomplete",11
0507664246019057034,3," Landingquickview, basket, singin, register, store, productbrowseshopbycategory, store, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",15
0509537543362594682,2," Landing, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, storepolicies, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productpageshopbycategory, basket, yourinfo, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productpageshopbycategory, basket, productpageshopbycategory, productbrowseshopbycategory, basket, productpageshopbycategory, basket, productpageshopbycategory, basket, productbrowseshopbycategory, productpageshopbycategory, basket, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",44
051516119104547275,1," Landingshopbycategory, productbrowsequickview, basket, singin, register, store, basket, yourinfo, payment, revieworder, ordercomplete",11
0531829155524217247,3," Landing, productpageshopbycategory, basket, singin, yourinfo, payment, revieworder, ordercomplete",8
0535797652559788641,2," Landing, singin, register, store, myaccount, myaccount, home, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productbrowseshopbycategory, basket, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",21
0546450430035162938,1," Landing, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, store, basket, singin, basket, singin, register, store, basket, yourinfo, payment, ordercomplete",16
0548744394505098293,1," Landing, productbrowseshopbycategory, productbrowsequickview, basket, singin, basket, singin, yourinfo, payment, revieworder, ordercomplete",11
0572135527461851083,1," Landing, store, search, searchsearch quickview, basket, store, productbrowseshopbycategory, home, productbrowseshopbycategory, store, basket, singin, register, store, basket, yourinfo, payment, revieworder, ordercomplete",19
057693500927581077,4," Landing, productpageshopbycategory, search, searchsearch quickview, basket, productpageshopbycategory, productpageshopbycategory, basket, search, searchsearch quickview, basket, productpageshopbycategory, basket, productpageshopbycategory, search, searchsearch quickview, basket, search, searchsearch quickview, basket, search, productbrowseshopbycategory, basket, search, searchsearch quickview, basket, productbrowseshopbycategory, productbrowsequickview, basket, productbrowseshopbycategory, search, searchsearch quickview, basket, search, searchsearch quickview, productpageshopbycategory, basket, search, searchsearch quickview, basket, singin, basket, yourinfo, payment, revieworder, basket, productpageshopbycategory, search, searchsearch quickview, productpageshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",55
0600237702497948707,1," Landing, productpageshopbycategory, home, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowsequickview, productpageshopbycategory, basket, yourinfo, paym",45
0604314853571328266,1," Landing, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, basket, singin, register, store, basket, yourinfo, payment, revieworder, payment, revieworder, ordercomplete",20
0608915197735218105,16," Landing, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, productbrowseshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",11
0608915197735218105,17," Landing, productbrowseshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",7
0633547848089854806,2," Landing, productbrowseshopbybrand, productbrowsequickview, basket, singin, register, store, basket, yourinfo, payment, revieworder, ordercomplete",12
0640040708763897460,4," Landing, store, productpageshopbycategory, basket, singin, basket, yourinfo, payment, revieworder, ordercomplete",10
0640433429877929929,5," Landing, singin, basket, productbrowseshopbycategory, productbrowseshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",10
0647701940544723891,6," Landing, productpageshopbycategory, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, home, basket, singin, basket, yourinfo, payment, revieworder, ordercomplete",17
0652202420147185334,2," Landing, basket, store, productbrowseshopbycategory, productbrowsequickview, basket, singin, basket, singin, yourinfo, payment, revieworder, ordercomplete",13
0658019277799848735,2," Landing, basket, store, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, home, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",17
0663614479606200802,1," Landing, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, singin, basket, yourinfo, payment, revieworder, ordercomplete",12
0668741043882663600,2," Landing, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, singin, store, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbybrand, productpageshopbycategory, productbrowseshopbybrand, productpageshopbycategory, basket, productbrowseshopbybrand, store, storestore quickview, productpageshopbycategory, store, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productbrowseshopbybrand, productpageshopbycategory, productbrowseshopbybrand, productpageshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",34
067475292701707948,5," Landing, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",13
0679581364401887394,2," Landing, productbrowseshopbybrand, productbrowsequickview, basket, singin, register, register, store, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbybrand, basket, yourinfo, payment, storepolicies, ordercomplete",16
0696402585067597025,2," Landing, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, singin, register, store, basket, yourinfo, payment, ordercomplete",26
0702289726935404752,2," Landing, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, search, searchsearch quickview, basket, productpageshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",16
0743501820485430157,1," Landing, productbrowseshopbycategory, home, search, home, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, singin, basket, yourinfo, payment, revieworder, ordercomplete",15
0747495245317338179,3," Landing, productbrowseshopbycategory, productbrowsequickview, basket, singin, register, store, basket, yourinfo, payment, revieworder, payment, revieworder, payment, revieworder, ordercomplete",16
0763707560320645222,1," Landing, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",15
0774683549194942679,1," Landingshopbybrand, productbrowsequickview, basket, home, singin, register, store, basket, yourinfo, payment, revieworder, ordercomplete",12
0779199793341944056,4," Landing, basket, singin, store, myaccount, myaccount, myaccount, myaccount, myaccount, myaccount, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, payment, revieworder, ordercomplete",19
0780253600713375371,10," Landing, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, search, productbrowseshopbybrand, productbrowsequickview, basket, singin, basket, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, singin, basket, yourinfo, payment, revieworder, ordercomplete",28
0794644147217997845,1," Landing, productbrowseshopbycategory, basket, singin, register, store, basket, yourinfo, payment, revieworder, ordercomplete",11
0795389678082168807,4," Landing, productbrowseshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",7
081281456829886913,3," Landingshopbycategory, singin, basket, yourinfo, productpageshopbycategory, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productpageshopbycategory, productbrowseshopbycategory, productpageshopbycategory, productpageshopbycategory, basket, productpageshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbybrand, basket, yourinfo, payment, yourinfo, basket, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productpageshopbycategory, basket, productpageshopbycategory, productbrowseshopbycategory, productpageshopbycategory, productbrowseshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",42
0842088345978971117,1," Landing, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, basket, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbybrand, basket, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",32
085319952392271706,1," Landing, store, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productbrowseshopbycategory, basket, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, productpageshopbycategory, basket, productpageshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",27
0853682097133967435,2," Landing, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productpageshopbycategory, basket, yourinfo, payment, home, basket, revieworder, ordercomplete",35
0862593861789084986,2," Landing, singin, store, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",14
0878293552935562825,3," Landing, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",14
0884726487864103521,1," Landing, productbrowseshopbybrand, productpageshopbycategory, productbrowseshopbybrand, productbrowseshopbycategory, productbrowsequickview, basket, singin, storepolicies, singin, register, store, basket, yourinfo, payment, basket, yourinfo, payment, revieworder, ordercomplete",20
0893919105830368772,4," Landing, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, basket, productpageshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",19
0951967559171152344,1," Landing, singin, store, productpageshopbycategory, productbrowseshopbycategory, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, basket, yourinfo, payment, revieworder, ordercomplete",13
0956108016718766611,1," Landing, store, basket, productbrowseshopbycategory, productbrowsequickview, basket, singin, register, store, basket, yourinfo, payment, ordercomplete",13
0967510812862831126,4," Landing, home, productbrowseshopbycategory, basket, singin, basket, singin, yourinfo, payment, revieworder, ordercomplete",11
0972673302515080474,3," Landingshopbycategory, productbrowseshopbycategory, basket, singin, basket, singin, register, store, basket, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, basket, yourinfo, payment, revieworder, ordercomplete",19
0975931442450346746,2," Landing, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, singin, basket, yourinfo, payment, revieworder, ordercomplete",11
1005326553546138067,12," Landing, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, singin, basket, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",17
1025574386832469970,5," Landing, store, productbrowseshopbycategory, store, productbrowseshopbycategory, store, productbrowseshopbycategory, store, storestore quickview, basket, yourinfo, payment, revieworder, ordercomplete",14
1051896220301954151,6," Landing, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, basket, singin, basket, yourinfo, basket, yourinfo, payment, revieworder, ordercomplete",14
1053771337658446740,2," Landing, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, yourinfo, basket, yourinfo, storepolicies, yourinfo, payment, revieworder, home, basket, yourinfo, payment, revieworder, ordercomplete",18
1063109698143249629,2," Landing, store, basket, singin, yourinfo, singin, yourinfo, payment, revieworder, payment, yourinfo, basket, yourinfo, payment, revieworder, ordercomplete",16
107029174520648874,1," Landingshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowsequickview, productpageshopbycategory, productpageshopbycategory, productbrowseshopbycategory, productpageshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, productbrowseshopbycategory, basket, storepolicies, storepolicies, home, productbrowseshopbycategory, productpageshopbycategory, basket, productpageshopbycategory, productpageshopbycategory, basket, singin, register, store, basket, payment, revieworder, ordercomplete",29
1081954083914922307,1," Landing, singin, store, productbrowseshopbycategory, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowseshopbycategory, basket, yourinfo, basket, yourinfo, payment, revieworder, ordercomplete",15
1090774782213816251,4," Landing, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, basket, yourinfo, payment, productbrowseshopbycategory, basket, productbrowseshopbycategory, productbrowsequickview, basket, yourinfo, payment, revieworder, ordercomplete",20
109375183949292344,4," Landing, store, productbrowseshopbycategory, productbrowsequickview, productbrowseshopbycategory, productbrowsequickview, productpageshopbycategory, productbrowseshopbycategory, productbrowsequickview, basket, singin, register, store, basket, yourinfo, payment, revieworder, ordercomplete",18
